id	other_income
411125106	35000
411035104	30000
411129103	10000
411051102	0
411127101	0
411118105	0
411103106	30000
411139102	9000
411134105	0
411144103	0
411100103	0
411116105	0
411131102	0
411048103	0
411116102	0
411059103	15000
411109105	0
411034104	0
411122103	0
411053103	0
411096103	6000
411095103	0
411148103	60000
411138532	0
411146101	0
411055105	0
411125105	50000
411130103	36000
411046104	0
411035107	0
411038105	0
411044105	0
411055104	0
411051103	0
411111103	0
411145102	0
411097102	10000
411130102	0
411105103	24000
411046103	20000
411057103	0
411110104	0
411117104	600000
411140102	0
411096104	10000
411124103	0
411101105	30000
411046105	0
411103431	14000
411130101	16000
411130104	48000
411140531	20000
411100105	0
411142431	30000
411103105	0
411055103	0
411110103	0
411138533	0
411103103	0
411127431	0
411133106	0
411047101	0
411047102	0
411140532	3800
411139103	16000
411043101	0
411125104	38000
411113104	40000
411148101	40000
411129104	0
411141102	100000
411133102	0
411100102	0
411053104	0
411103104	0
411060103	0
411096102	0
411588104	0
411749102	0
411737103	0
411737102	0
411588102	0
411738103	0
411746105	0
411589102	0
411583103	0
411588105	0
411738104	0
411739102	0
411593103	0
411586102	0
411744104	0
411737101	0
411744103	0
411590103	0
411748105	20000
411583104	0
411585103	0
411588103	0
411746102	0
411607103	20000
411603104	15000
411750101	0
411605102	0
411602103	0
411605103	0
411598103	0
411596103	1000
411607105	15000
411596101	20000
411762101	0
411601103	0
411601101	0
411596104	15000
411750102	0
411607104	25000
410791105	0
410781104	0
410791104	0
410749104	0
410793103	0
410786104	0
410787102	36000
410791103	0
410793105	0
410788104	20000
410788103	0
410749103	0
410793104	0
410751103	0
410786103	0
410781102	0
410798103	12000
410797104	36000
410797103	36000
410799103	0
410800102	0
410801104	24000
410798431	7200
410797105	18000
410801102	20000
410796103	0
410195103	0
410187101	0
410195102	0
410187102	6000
410234103	0
410234102	0
410234105	0
410234104	0
410310103	0
410281102	0
410276103	0
410273102	0
410349105	0
410349101	0
410305101	0
410259102	0
410353106	0
411263102	0
411238101	0
411263103	15000
411250103	0
411313103	0
411338104	0
411350102	0
411316102	40000
411348104	40000
411338103	0
411329101	0
411345104	0
411348103	40000
411307102	12000
411350104	0
411329104	15000
411334102	0
410877103	0
410842101	0
410881107	8000
410836103	0
410831105	20000
410865431	0
410827107	25000
410890103	0
411693102	0
411834102	0
411831104	0
411831105	0
411693101	0
410724105	24000
410740103	60000
411026102	0
411007102	0
410742103	44000
410935108	0
411028105	0
410723104	30000
410740104	0
410924105	26000
410933102	0
410922103	0
410924104	26000
410924103	0
411023103	35000
410763531	0
410922105	0
410933109	0
411029103	0
410933103	0
410927103	2000
410945105	0
410927101	20000
411022108	0
410943106	20000
411026531	0
411023104	50000
410945102	0
410939103	0
411007103	24000
410742104	0
410930105	0
411019101	0
411029102	0
410747103	0
411016104	50000
411016103	0
411013104	23000
411007106	40000
410722104	15000
411028103	40000
410745104	20000
411022107	0
411024431	0
410745105	50000
410732104	16800
410936102	5000
411012103	1000
410932105	20000
169532503	3600
411210103	0
411228105	0
411214105	0
411210105	10000
411206108	0
411223104	0
411219105	0
411216104	0
411213103	0
411216103	0
411206101	0
411206104	0
411211104	0
411225103	0
411210106	0
411228102	0
411219104	0
411206102	0
411218104	60000
411230103	37000
411214106	0
411228103	0
411210104	0
